127.0.0.1 - - [27/Jul/2019:02:16:55 -0400] "GET / HTTP/1.1" 200 11403
0:0:0:0:0:0:0:1 - - [27/Jul/2019:02:17:21 -0400] "GET /map/search?start_location=UAMSS+Amherst+MA&end_location=Amherst+Center+MA HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [27/Jul/2019:02:17:53 -0400] "GET /map/search?start_location=UAMSS+Amherst+MA&end_location=Amherst+Center+MA HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [27/Jul/2019:02:17:58 -0400] "GET /map/search?start_location=UAMSS+Amherst+MA&end_location=Amherst+Center+MA HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [27/Jul/2019:02:18:44 -0400] "GET /map/firstcheck HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [27/Jul/2019:02:18:47 -0400] "GET /map/firstcheck HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [27/Jul/2019:02:18:54 -0400] "GET /map/firstcheck HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [27/Jul/2019:02:19:03 -0400] "POST /map/confirm HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [27/Jul/2019:02:19:10 -0400] "POST /map/confirm HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Jul/2019:02:45:10 -0400] "GET /map/firstcheck HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [27/Jul/2019:02:45:11 -0400] "GET /map/firstcheck HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [27/Jul/2019:02:45:11 -0400] "GET /map/firstcheck HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [27/Jul/2019:02:45:12 -0400] "GET /map/firstcheck HTTP/1.1" 200 42
